p1,p2,p3,p5,p4,p6,p7,p8
9.2851399e-14,.02630795,.88838732,.085304737,0,0,0,0
.001769344,.42481163,.56273353,.010685487,0,0,0,0
1.1075689e-09,.36743447,.62192518,.010640346,0,0,0,0
.99999982,1.9911761e-07,6.0917393e-10,3.8844558e-14,0,0,0,0
3.6145691e-15,.0028046453,.4492341,.54796129,0,0,0,0
2.0688583e-08,.45642358,.53702521,.0065511959,0,0,0,0
.0000227157,.30975476,.67341375,.016808787,0,0,0,0
.3517727,.64174652,.006480034,7.5304149e-07,0,0,0,0
.00078020681,.89233929,.10658792,.00029258069,0,0,0,0
.00021617857,.98128027,.018497549,6.0249563e-06,0,0,0,0
.00045576325,.62551427,.36609232,.0079376465,0,0,0,0
6.1415064e-19,.01221153,.54997671,.43781173,0,0,0,0
.50075084,.48011863,.019095473,.000035068126,0,0,0,0
.000076058568,.83453161,.16472547,.00066687993,0,0,0,0
2.4215853e-11,.045727603,.70611382,.24815856,0,0,0,0
.2335538,.76443428,.0020119189,3.6517271e-08,0,0,0,0
1.7087507e-14,.0024897887,.30648774,.69102246,0,0,0,0
.00022277943,.86090702,.1381944,.00067579554,0,0,0,0
.000011423695,.73195785,.26741934,.00061135902,0,0,0,0
4.4530077e-10,.26139605,.72727424,.011329688,0,0,0,0
.79641646,.20139208,.0021912679,2.0217173e-07,0,0,0,0
5.4722876e-11,.029879533,.74135053,.22876991,0,0,0,0
.99449116,.0054949233,.000013914509,1.3438346e-09,0,0,0,0
.36165947,.62944037,.0088996841,4.8637929e-07,0,0,0,0
5.5258935e-12,.013794352,.52562338,.46058226,0,0,0,0
4.7415847e-12,.018915802,.76813638,.21294782,0,0,0,0
2.4989374e-15,.086806446,.87397057,.039222959,0,0,0,0
1.8227779e-06,.30637148,.68079162,.012835108,0,0,0,0
.0002141139,.48105127,.51534557,.0033890354,0,0,0,0
3.0172786e-09,.11172367,.79633766,.091938667,0,0,0,0
.00013082982,.69763124,.30034482,.0018931067,0,0,0,0
1.4768571e-09,.26257634,.62865424,.1087694,0,0,0,0
.000019406976,.75634295,.24267423,.00096339011,0,0,0,0
3.7399969e-10,.28228635,.66560286,.052110799,0,0,0,0
4.4525483e-10,.11799195,.81977034,.062237706,0,0,0,0
.00043269357,.65758884,.33623573,.0057427068,0,0,0,0
1.4948847e-07,.39211914,.60136271,.0065180324,0,0,0,0
4.1591857e-06,.57622278,.41996643,.0038066404,0,0,0,0
2.5796113e-16,.0066975732,.56179208,.43151036,0,0,0,0
.000025781059,.86230338,.13750948,.00016135034,0,0,0,0
.000066037421,.2548973,.68474162,.060295027,0,0,0,0
.0002818119,.91936523,.080295183,.000057756846,0,0,0,0
2.8541602e-09,.36175674,.63560027,.0026429642,0,0,0,0
.00012765167,.83315897,.16640468,.00030871035,0,0,0,0
.000089110385,.93611401,.06369178,.00010511837,0,0,0,0
